SiteID,1566321,Site Timezone,-6,Data Timezone,-6,Longitude,-90.3634643555,Latitude,42.9575462341
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2013,1,4,11,30,N/A,251.9,8.2,-3.86,96530,N/A
2013,1,4,12,30,N/A,251.98000000000002,8.09,-2.8000000000000003,96530,N/A
2013,1,4,13,30,N/A,251.62,7.79,-2.05,96530,N/A
2013,1,4,14,30,N/A,252.25,7.7,-1.59,96530,N/A
2013,1,4,15,30,N/A,249.91,7.63,-1.56,96550,N/A
2013,1,4,16,30,N/A,250.53,10.28,-1.45,96580,N/A
2013,1,4,17,30,N/A,253.01000000000002,10.47,-1.46,96620,N/A
2013,1,4,18,30,N/A,253.76000000000002,10.21,-1.54,96660,N/A
2013,1,4,19,30,N/A,257.46,9.28,-1.77,96690,N/A
2013,1,4,20,30,N/A,262.88,9.58,-1.58,96690,N/A
2013,1,4,21,30,N/A,263.87,8.98,-1.6500000000000001,96680,N/A
2013,1,4,22,30,N/A,264.2,8.89,-1.98,96650,N/A
2013,1,4,23,30,N/A,267.71,7.7,-2.15,96640,N/A
2013,1,5,0,30,N/A,265.95,6.54,-2.5100000000000002,96640,N/A
2013,1,5,1,30,N/A,245.41,5.39,-3.27,96630,N/A
2013,1,5,2,30,N/A,228.07,6.21,-3.93,96630,N/A
2013,1,5,3,30,N/A,231.48000000000002,6.86,-3.58,96590,N/A
2013,1,5,4,30,N/A,226.18,6.59,-3.5100000000000002,96570,N/A
2013,1,5,5,30,N/A,214.06,8.15,-3.77,96540,N/A
2013,1,5,6,30,N/A,210.44,8.68,-4.07,96520,N/A
2013,1,5,7,30,N/A,203.9,9.08,-4.68,96490,N/A
2013,1,5,8,30,N/A,199.54,8.96,-5.64,96450,N/A
2013,1,5,9,30,N/A,203.27,8.540000000000001,-4.89,96400,N/A
2013,1,5,10,30,N/A,199.1,7.05,-4,96310,N/A
2013,1,5,11,30,N/A,202.75,7.5600000000000005,-2.7600000000000002,96250,N/A
2013,1,5,12,30,N/A,203.43,8.23,-1.61,96150,N/A
2013,1,5,13,30,N/A,207.1,8.47,-0.64,96080,N/A
2013,1,5,14,30,N/A,210.03,8.9,0.05,96030,N/A
2013,1,5,15,30,N/A,208.53,9.34,0.34,95970,N/A
2013,1,5,16,30,N/A,208.43,10.99,0.47000000000000003,95950,N/A
2013,1,5,17,30,N/A,208.92000000000002,11.66,0.53,95930,N/A
2013,1,5,18,30,N/A,214.38,12.34,0.36,95910,N/A
2013,1,5,19,30,N/A,223.07,11.36,0.04,95890,N/A
2013,1,5,20,30,N/A,226.95000000000002,10.73,-0.49,95840,N/A
2013,1,5,21,30,N/A,242.72,10.75,-1.1500000000000001,95800,N/A
2013,1,5,22,30,N/A,265.31,9.4,-2.36,95770,N/A
2013,1,5,23,30,N/A,294.82,9.09,-3.6,95790,N/A
2013,1,6,0,30,N/A,304.39,9.16,-4.7700000000000005,95810,N/A
