SiteID,1745739,Site Timezone,-6,Data Timezone,0,Longitude,-87.6826171875,Latitude,35.2915306091
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2014,1,4,13,30,N/A,170.34,13.870000000000001,-3.25,97680,N/A
2014,1,4,14,30,N/A,170,13.790000000000001,-2.56,97650,N/A
2014,1,4,15,30,N/A,172.16,12.71,-1.48,97620,N/A
2014,1,4,16,30,N/A,171.87,10.620000000000001,-0.03,97550,N/A
2014,1,4,17,30,N/A,173.69,9.96,1.5,97490,N/A
2014,1,4,18,30,N/A,173.76,9.950000000000001,2.74,97430,N/A
2014,1,4,19,30,N/A,174.17000000000002,10.44,3.62,97360,N/A
2014,1,4,20,30,N/A,174.07,10.620000000000001,4.11,97290,N/A
2014,1,4,21,30,N/A,172.66,12.09,4.0200000000000005,97240,N/A
2014,1,4,22,30,N/A,169.13,12.84,3.52,97210,N/A
2014,1,4,23,30,N/A,169.44,15.07,3.2,97180,N/A
2014,1,5,0,30,N/A,169.46,14.44,2.62,97170,N/A
2014,1,5,1,30,N/A,171.28,14.22,2.06,97160,N/A
2014,1,5,2,30,N/A,169.41,14.17,1.34,97170,N/A
2014,1,5,3,30,N/A,167.24,13.27,0.87,97160,N/A
2014,1,5,4,30,N/A,164.72,12.44,0.53,97120,N/A
2014,1,5,5,30,N/A,164.61,12.38,0.47000000000000003,97110,N/A
2014,1,5,6,30,N/A,163.96,12.790000000000001,0.5,97100,N/A
2014,1,5,7,30,N/A,166.59,11.94,0.96,97070,N/A
2014,1,5,8,30,N/A,166.24,12.43,1.24,97020,N/A
2014,1,5,9,30,N/A,168.14000000000001,12.9,2.02,96960,N/A
2014,1,5,10,30,N/A,163.12,11.91,2.24,96920,N/A
2014,1,5,11,30,N/A,163.15,11.97,2.56,96860,N/A
2014,1,5,12,30,N/A,162.35,11.620000000000001,2.65,96800,N/A
2014,1,5,13,30,N/A,167.94,12.46,2.7800000000000002,96730,N/A
2014,1,5,14,30,N/A,174.81,14.08,3.62,96660,N/A
2014,1,5,15,30,N/A,174.41,14.49,4.5,96580,N/A
2014,1,5,16,30,N/A,177.09,14.24,5.43,96460,N/A
2014,1,5,17,30,N/A,183.49,15.41,8.02,96320,N/A
2014,1,5,18,30,N/A,181.27,13.99,10.42,96170,N/A
2014,1,5,19,30,N/A,187.01,16.64,11.17,96080,N/A
2014,1,5,20,30,N/A,187.87,15.51,11.42,95960,N/A
2014,1,5,21,30,N/A,191.99,14.92,11,95880,N/A
2014,1,5,22,30,N/A,285.96,12.56,3.09,96250,N/A
2014,1,5,23,30,N/A,296.76,14.33,-0.21,96300,N/A
2014,1,6,0,30,N/A,302.92,12.88,-2.2800000000000002,96450,N/A
2014,1,6,1,30,N/A,317.12,11.6,-3.69,96620,N/A
2014,1,6,2,30,N/A,316.21,12.65,-5.5,96750,N/A
2014,1,6,3,30,N/A,323.84000000000003,12.05,-6.890000000000001,96910,N/A
2014,1,6,4,30,N/A,328.18,14.15,-8.85,97030,N/A
2014,1,6,5,30,N/A,328.82,14.52,-9.99,97130,N/A
2014,1,6,6,30,N/A,328.45,14.31,-10.620000000000001,97260,N/A
2014,1,6,7,30,N/A,328.36,13.55,-11.41,97390,N/A
2014,1,6,8,30,N/A,327.16,14.6,-12.790000000000001,97490,N/A
2014,1,6,9,30,N/A,330.11,13.15,-13.290000000000001,97600,N/A
2014,1,6,10,30,N/A,330.29,12.89,-14.08,97690,N/A
2014,1,6,11,30,N/A,325.68,13.42,-14.780000000000001,97780,N/A
2014,1,6,12,30,N/A,327.66,13.27,-15.65,97870,N/A
2014,1,6,13,30,N/A,318.67,10.81,-15.200000000000001,97930,N/A
2014,1,6,14,30,N/A,323.76,11.01,-16.48,98020,N/A
2014,1,6,15,30,N/A,317.47,10.38,-16.490000000000002,98070,N/A
2014,1,6,16,30,N/A,311.24,10.950000000000001,-16.59,98080,N/A
2014,1,6,17,30,N/A,314.91,9.61,-16.43,98100,N/A
2014,1,6,18,30,N/A,307.96,10.46,-15.99,98120,N/A
2014,1,6,19,30,N/A,313.09000000000003,9.23,-16.16,98160,N/A
2014,1,6,20,30,N/A,309.67,9.63,-15.23,98160,N/A
2014,1,6,21,30,N/A,298.58,11.01,-15.67,98190,N/A
2014,1,6,22,30,N/A,310.26,11.55,-15.950000000000001,98230,N/A
2014,1,6,23,30,N/A,306.12,11.51,-16.02,98290,N/A
2014,1,7,0,30,N/A,305.90000000000003,9.370000000000001,-15.81,98340,N/A
2014,1,7,1,30,N/A,305.21,8.540000000000001,-15.47,98380,N/A
2014,1,7,2,30,N/A,301.52,7.88,-15.1,98400,N/A
2014,1,7,3,30,N/A,300.86,7.17,-14.72,98410,N/A
2014,1,7,4,30,N/A,303.15000000000003,7.0200000000000005,-14.620000000000001,98380,N/A
2014,1,7,5,30,N/A,300.64,6.41,-14.49,98390,N/A
2014,1,7,6,30,N/A,300.6,5.97,-14.24,98410,N/A
2014,1,7,7,30,N/A,295.17,5.98,-13.99,98430,N/A
